"anno1","anno2","anno3","manuell","Junktor","id"
"FALSE","FALSE","FALSE","automatic","Proposition",1
"TRUE","TRUE","TRUE","automatic","Negation",2
"FALSE","FALSE","FALSE","automatic","Negation",3
"TRUE","TRUE","TRUE","automatic","Implikation",4
"FALSE","FALSE","FALSE","automatic","Proposition",5
"FALSE","FALSE","FALSE","automatic","Disjunktion",6
"TRUE","TRUE","TRUE","manual","Implikation",7
"FALSE","TRUE","TRUE","automatic","Implikation",8
"FALSE","TRUE","TRUE","automatic","Implikation",9
"FALSE","FALSE","FALSE","automatic","Proposition",10
"FALSE","FALSE","FALSE","automatic","Proposition",11
"TRUE","FALSE","FALSE","automatic","Disjunktion",12
"TRUE","FALSE","FALSE","automatic","Konjunktion",13
"TRUE","TRUE","TRUE","automatic","Implikation",14
"FALSE","FALSE","FALSE","automatic","Konjunktion",15
"FALSE","FALSE","FALSE","automatic","Proposition",16
"TRUE","TRUE","TRUE","manual","Proposition",17
"TRUE","FALSE","FALSE","automatic","Proposition",18
"TRUE","TRUE","FALSE","manual","Implikation",19
"TRUE","TRUE","TRUE","automatic","Implikation",20
"TRUE","TRUE","TRUE","automatic","Implikation",21
"TRUE","TRUE","FALSE","automatic","Negation",22
"FALSE","FALSE","FALSE","automatic","Proposition",23
"FALSE","FALSE","FALSE","automatic","Proposition",24
"TRUE","TRUE","FALSE","automatic","Negation",25
"FALSE","FALSE","FALSE","automatic","Disjunktion",26
"FALSE","FALSE","FALSE","manual","Implikation",27
"TRUE","TRUE","TRUE","automatic","Negation",28
"TRUE","FALSE","FALSE","automatic","Konjunktion",29
"TRUE","TRUE","FALSE","automatic","Negation",30
"TRUE","TRUE","TRUE","automatic","Proposition",31
"TRUE","TRUE","FALSE","automatic","Negation",32
"FALSE","FALSE","FALSE","automatic","Proposition",33
"FALSE","FALSE","FALSE","automatic","Proposition",34
"FALSE","FALSE","FALSE","automatic","Proposition",35
"FALSE","TRUE","FALSE","manual","Konjunktion",36
"FALSE","FALSE","FALSE","automatic","Disjunktion",37
"TRUE","TRUE","TRUE","manual","Proposition",38
"FALSE","TRUE","TRUE","automatic","Implikation",39
"FALSE","FALSE","FALSE","automatic","Konjunktion",40
"FALSE","FALSE","FALSE","automatic","Negation",41
"TRUE","TRUE","TRUE","automatic","Negation",42
"FALSE","FALSE","FALSE","automatic","Konjunktion",43
"FALSE","FALSE","FALSE","automatic","Disjunktion",44
"FALSE","FALSE","FALSE","automatic","Disjunktion",45
"FALSE","FALSE","FALSE","automatic","Proposition",46
"TRUE","TRUE","TRUE","manual","Implikation",47
"TRUE","TRUE","FALSE","automatic","Implikation",48
"FALSE","FALSE","FALSE","automatic","Proposition",49
"FALSE","FALSE","FALSE","automatic","Disjunktion",50
"TRUE","FALSE","TRUE","manual","Konjunktion",51
"TRUE","TRUE","TRUE","automatic","Proposition",52
"FALSE","FALSE","FALSE","automatic","Proposition",53
"TRUE","TRUE","TRUE","automatic","Negation",54
"TRUE","TRUE","TRUE","automatic","Implikation",55
"TRUE","FALSE","FALSE","automatic","Negation",56
"TRUE","TRUE","FALSE","automatic","Negation",57
"TRUE","TRUE","TRUE","automatic","Implikation",58
"TRUE","FALSE","FALSE","manual","Proposition",59
"TRUE","TRUE","TRUE","automatic","Negation",60
"FALSE","FALSE","FALSE","automatic","Disjunktion",61
"FALSE","FALSE","FALSE","manual","Implikation",62
"FALSE","FALSE","FALSE","automatic","Disjunktion",63
"FALSE","FALSE","FALSE","automatic","Disjunktion",64
"TRUE","TRUE","TRUE","automatic","Proposition",65
"TRUE","FALSE","FALSE","automatic","Disjunktion",66
"TRUE","TRUE","TRUE","manual","Konjunktion",67
"TRUE","TRUE","TRUE","manual","Proposition",68
"TRUE","TRUE","TRUE","automatic","Negation",69
"FALSE","FALSE","FALSE","automatic","Proposition",70
"FALSE","FALSE","FALSE","automatic","Proposition",71
"FALSE","FALSE","FALSE","automatic","Implikation",72
"FALSE","FALSE","FALSE","automatic","Proposition",73
"FALSE","TRUE","TRUE","automatic","Negation",74
"FALSE","FALSE","FALSE","automatic","Proposition",75
"FALSE","TRUE","FALSE","automatic","Negation",76
"TRUE","TRUE","TRUE","automatic","Proposition",77
"TRUE","TRUE","TRUE","manual","Konjunktion",78
"TRUE","TRUE","FALSE","automatic","Proposition",79
"TRUE","TRUE","FALSE","automatic","Negation",80
"TRUE","TRUE","FALSE","automatic","Proposition",81
"FALSE","FALSE","FALSE","automatic","Konjunktion",82
"TRUE","TRUE","TRUE","automatic","Negation",83
"FALSE","FALSE","FALSE","automatic","Proposition",84
"FALSE","FALSE","FALSE","automatic","Konjunktion",85
"TRUE","TRUE","TRUE","automatic","Implikation",86
"FALSE","FALSE","FALSE","automatic","Negation",87
"FALSE","TRUE","FALSE","automatic","Negation",88
"TRUE","TRUE","FALSE","automatic","Implikation",89
"FALSE","FALSE","FALSE","automatic","Proposition",90
"FALSE","FALSE","FALSE","automatic","Konjunktion",91
"TRUE","TRUE","TRUE","manual","Proposition",92
"FALSE","TRUE","TRUE","automatic","Negation",93
"FALSE","FALSE","FALSE","automatic","Proposition",94
"FALSE","TRUE","TRUE","automatic","Negation",95
"TRUE","TRUE","TRUE","automatic","Negation",96
"FALSE","FALSE","FALSE","automatic","Proposition",97
"FALSE","FALSE","FALSE","automatic","Proposition",98
"TRUE","TRUE","FALSE","automatic","Implikation",99
"FALSE","FALSE","FALSE","automatic","Disjunktion",100
"FALSE","TRUE","FALSE","automatic","Negation",101
"FALSE","FALSE","FALSE","automatic","Proposition",102
"TRUE","TRUE","FALSE","automatic","Negation",103
"FALSE","FALSE","FALSE","automatic","Konjunktion",104
"TRUE","TRUE","TRUE","automatic","Implikation",105
"FALSE","FALSE","FALSE","automatic","Proposition",106
"TRUE","TRUE","FALSE","automatic","Negation",107
"TRUE","TRUE","TRUE","automatic","Disjunktion",108
"FALSE","FALSE","FALSE","automatic","Konjunktion",109
"FALSE","FALSE","TRUE","manual","Proposition",110
"FALSE","FALSE","FALSE","automatic","Disjunktion",111
"FALSE","FALSE","FALSE","automatic","Konjunktion",112
"FALSE","FALSE","FALSE","automatic","Konjunktion",113
"TRUE","TRUE","TRUE","automatic","Negation",114
"TRUE","TRUE","TRUE","automatic","Proposition",115
"FALSE","FALSE","FALSE","automatic","Proposition",116
"TRUE","TRUE","TRUE","manual","Proposition",117
"FALSE","TRUE","TRUE","automatic","Negation",118
"FALSE","FALSE","TRUE","automatic","Negation",119
"FALSE","FALSE","FALSE","automatic","Konjunktion",120
"TRUE","TRUE","FALSE","automatic","Proposition",121
"TRUE","FALSE","FALSE","manual","Implikation",122
"FALSE","FALSE","FALSE","automatic","Proposition",123
"TRUE","TRUE","TRUE","automatic","Implikation",124
"FALSE","FALSE","FALSE","automatic","Konjunktion",125
"TRUE","TRUE","FALSE","automatic","Implikation",126
"TRUE","TRUE","TRUE","manual","Proposition",127
"FALSE","TRUE","FALSE","automatic","Implikation",128
"FALSE","FALSE","FALSE","automatic","Konjunktion",129
"FALSE","FALSE","FALSE","automatic","Proposition",130
"TRUE","TRUE","FALSE","automatic","Negation",131
"TRUE","TRUE","FALSE","manual","Implikation",132
"FALSE","FALSE","FALSE","automatic","Proposition",133
"FALSE","TRUE","TRUE","automatic","Negation",134
"FALSE","FALSE","FALSE","automatic","Proposition",135
"FALSE","TRUE","TRUE","automatic","Negation",136
"TRUE","TRUE","TRUE","automatic","Negation",137
"FALSE","FALSE","FALSE","automatic","Konjunktion",138
"TRUE","TRUE","FALSE","automatic","Implikation",139
"FALSE","FALSE","FALSE","automatic","Konjunktion",140
"FALSE","TRUE","TRUE","automatic","Negation",141
"FALSE","FALSE","FALSE","automatic","Negation",142
"TRUE","TRUE","TRUE","automatic","Negation",143
"FALSE","FALSE","FALSE","automatic","Proposition",144
"FALSE","FALSE","FALSE","automatic","Konjunktion",145
"TRUE","TRUE","FALSE","automatic","Implikation",146
"TRUE","TRUE","FALSE","automatic","Implikation",147
"TRUE","TRUE","FALSE","automatic","Proposition",148
"FALSE","FALSE","FALSE","automatic","Konjunktion",149
"FALSE","FALSE","FALSE","automatic","Konjunktion",150
"FALSE","FALSE","FALSE","automatic","Negation",151
"TRUE","TRUE","TRUE","automatic","Negation",152
"TRUE","TRUE","TRUE","automatic","Konjunktion",153
"TRUE","TRUE","FALSE","automatic","Implikation",154
"FALSE","FALSE","FALSE","automatic","Proposition",155
"TRUE","TRUE","TRUE","automatic","Disjunktion",156
"FALSE","FALSE","FALSE","automatic","Disjunktion",157
"FALSE","FALSE","FALSE","automatic","Proposition",158
"FALSE","FALSE","FALSE","automatic","Disjunktion",159
"TRUE","TRUE","FALSE","automatic","Implikation",160
"TRUE","TRUE","TRUE","automatic","Konjunktion",161
"FALSE","FALSE","FALSE","automatic","Konjunktion",162
"FALSE","TRUE","FALSE","automatic","Implikation",163
"FALSE","FALSE","FALSE","automatic","Proposition",164
"FALSE","FALSE","FALSE","automatic","Negation",165
"TRUE","TRUE","FALSE","automatic","Negation",166
"TRUE","FALSE","FALSE","automatic","Disjunktion",167
"FALSE","FALSE","FALSE","automatic","Proposition",168
"TRUE","FALSE","TRUE","manual","Implikation",169
"TRUE","TRUE","TRUE","automatic","Proposition",170
"TRUE","FALSE","TRUE","manual","Implikation",171
"FALSE","FALSE","FALSE","automatic","Konjunktion",172
"FALSE","TRUE","FALSE","automatic","Negation",173
"FALSE","FALSE","FALSE","automatic","Proposition",174
"FALSE","FALSE","FALSE","automatic","Proposition",175
"FALSE","FALSE","FALSE","automatic","Proposition",176
"TRUE","TRUE","TRUE","automatic","Negation",177
"TRUE","FALSE","TRUE","automatic","Implikation",178
"FALSE","FALSE","FALSE","automatic","Negation",179
"TRUE","FALSE","FALSE","manual","Implikation",180
"TRUE","TRUE","TRUE","manual","Proposition",181
"TRUE","TRUE","FALSE","automatic","Negation",182
"TRUE","TRUE","TRUE","automatic","Disjunktion",183
"TRUE","FALSE","FALSE","automatic","Proposition",184
"FALSE","TRUE","TRUE","automatic","Negation",185
"FALSE","TRUE","TRUE","automatic","Negation",186
"FALSE","FALSE","FALSE","automatic","Disjunktion",187
"TRUE","TRUE","TRUE","automatic","Negation",188
"TRUE","TRUE","TRUE","automatic","Negation",189
"FALSE","FALSE","FALSE","automatic","Konjunktion",190
"TRUE","FALSE","FALSE","automatic","Proposition",191
"TRUE","TRUE","TRUE","manual","Konjunktion",192
"FALSE","TRUE","TRUE","automatic","Negation",193
"FALSE","FALSE","FALSE","automatic","Disjunktion",194
"TRUE","TRUE","TRUE","manual","Proposition",195
"FALSE","FALSE","TRUE","automatic","Negation",196
"TRUE","TRUE","TRUE","automatic","Disjunktion",197
"FALSE","FALSE","FALSE","automatic","Disjunktion",198
"FALSE","FALSE","FALSE","automatic","Disjunktion",199
"FALSE","FALSE","FALSE","automatic","Konjunktion",200
